source_group	surface	context_or_analysis	provenance	reviewer	verdict	canonicality	notes
generated_verb	ልንበር	jussive_imperative *DERAGI;*MAIN;1;JUS;SG;V	HornMorpho 5.3.6 regular:ንብር:A				
generated_verb	ትነብሪአለሽ	imperfective *DERAGI;*MAIN;2;FEM;IPFV;SG;V	HornMorpho 5.3.6 regular:ንብር:A				
generated_verb	ትነብሪያለሽ	imperfective *DERAGI;*MAIN;2;FEM;IPFV;SG;V	HornMorpho 5.3.6 regular:ንብር:A				
generated_verb	ትነብራለህ	imperfective *DERAGI;*MAIN;2;IPFV;MASC;SG;V	HornMorpho 5.3.6 regular:ንብር:A				
generated_verb	ትነብራለች	imperfective *DERAGI;*MAIN;3;FEM;IPFV;SG;V	HornMorpho 5.3.6 regular:ንብር:A				
generated_verb	ትነብራላችሁ	imperfective *DERAGI;*MAIN;2;IPFV;PL;V	HornMorpho 5.3.6 regular:ንብር:A				
generated_verb	ትንበር	jussive_imperative *DERAGI;*MAIN;3;FEM;JUS;SG;V	HornMorpho 5.3.6 regular:ንብር:A				
generated_verb	ነበረ	perfective *DERAGI;*MAIN;3;MASC;PFV;SG;V	HornMorpho 5.3.6 regular:ንብር:A				
generated_verb	ነበረች	perfective *DERAGI;*MAIN;3;FEM;PFV;SG;V	HornMorpho 5.3.6 regular:ንብር:A				
generated_verb	ነበሩ	perfective *DERAGI;*MAIN;3;PFV;PL;V	HornMorpho 5.3.6 regular:ንብር:A				
generated_verb	ነበራችሁ	perfective *DERAGI;*MAIN;2;PFV;PL;V	HornMorpho 5.3.6 regular:ንብር:A				
generated_verb	ነበር	perfective *DERAGI;*MAIN;3;MASC;PFV;SG;V	HornMorpho 5.3.6 regular:ንብር:A				
generated_verb	ነበርሁ	perfective *DERAGI;*MAIN;1;PFV;SG;V	HornMorpho 5.3.6 regular:ንብር:A				
generated_verb	ነበርህ	perfective *DERAGI;*MAIN;2;MASC;PFV;SG;V	HornMorpho 5.3.6 regular:ንብር:A				
generated_verb	ነበርሽ	perfective *DERAGI;*MAIN;2;FEM;PFV;SG;V	HornMorpho 5.3.6 regular:ንብር:A				
generated_verb	ነበርን	perfective *DERAGI;*MAIN;1;PFV;PL;V	HornMorpho 5.3.6 regular:ንብር:A				
generated_verb	ነበርኩ	perfective *DERAGI;*MAIN;1;PFV;SG;V	HornMorpho 5.3.6 regular:ንብር:A				
generated_verb	ነበርክ	perfective *DERAGI;*MAIN;2;MASC;PFV;SG;V	HornMorpho 5.3.6 regular:ንብር:A				
generated_verb	ንበሩ	jussive_imperative *DERAGI;*MAIN;2;IMP;PL;V	HornMorpho 5.3.6 regular:ንብር:A				
