source_class	lexeme_id	root	root_class	feature_id	feature_name	features	surface	normalized_key	oracle_root	oracle_lemma	oracle_udfeats
regular	regular:ልምን:B	ልምን	B	0	perfective_3ms	[t=p,sp=3,sn=1,sg=m]	ለመነ	ለመነ	ልምን	ለመነ	Aspect=Perf|Gender=Masc|Number=Sing|Person=3
regular	regular:ልምን:B	ልምን	B	1	imperfective_3ms	[t=i,sp=3,sn=1,sg=m]	ይለምናል	ይለምናል	ልምን	ለመነ	Aspect=Imp|Gender=Masc|Number=Sing|Person=3
regular	regular:ልምን:B	ልምን	B	2	imperative_2ms	[t=j,sp=2,sn=1,sg=m]	ለምን	ለምን	ልምን	ለመነ	Gender=Masc|Mood=Imp|Number=Sing|Person=2
regular	regular:ልምድ:A	ልምድ	A	0	perfective_3ms	[t=p,sp=3,sn=1,sg=m]	ለመደ	ለመደ	ልምድ	ለመደ	Aspect=Perf|Gender=Masc|Number=Sing|Person=3
regular	regular:ልምድ:A	ልምድ	A	1	imperfective_3ms	[t=i,sp=3,sn=1,sg=m]	ይለምዳል	ይለምዳል	ልምድ	ለመደ	Aspect=Imp|Gender=Masc|Number=Sing|Person=3
regular	regular:ልምድ:A	ልምድ	A	2	imperative_2ms	[t=j,sp=2,sn=1,sg=m]	ልመድ	ልመድ	ልምድ	ለመደ	Gender=Masc|Mood=Imp|Number=Sing|Person=2
regular	regular:ልምጥጥ:E	ልምጥጥ	E	0	perfective_3ms	[t=p,sp=3,sn=1,sg=m]	ለመጠጠ	ለመጠጠ	ልምጥጥ	ለመጠጠ	Aspect=Perf|Gender=Masc|Number=Sing|Person=3
regular	regular:ልምጥጥ:E	ልምጥጥ	E	1	imperfective_3ms	[t=i,sp=3,sn=1,sg=m]	ይለመጥጣል	ይለመጥጣል	ልምጥጥ	ለመጠጠ	Aspect=Imp|Gender=Masc|Number=Sing|Person=3
regular	regular:ልምጥጥ:E	ልምጥጥ	E	2	imperative_2ms	[t=j,sp=2,sn=1,sg=m]	ለምጥጥ	ለምጥጥ	ልምጥጥ	ለመጠጠ	Gender=Masc|Mood=Imp|Number=Sing|Person=2
regular	regular:ልቅም:A	ልቅም	A	0	perfective_3ms	[t=p,sp=3,sn=1,sg=m]	ለቀመ	ለቀመ	ልቅም	ለቀመ	Aspect=Perf|Gender=Masc|Number=Sing|Person=3
regular	regular:ልቅም:A	ልቅም	A	1	imperfective_3ms	[t=i,sp=3,sn=1,sg=m]	ይለቅማል	ይለቅማል	ልቅም	ለቀመ	Aspect=Imp|Gender=Masc|Number=Sing|Person=3
regular	regular:ልቅም:A	ልቅም	A	2	imperative_2ms	[t=j,sp=2,sn=1,sg=m]	ልቀም	ልቀም	ልቅም	ለቀመ	Gender=Masc|Mood=Imp|Number=Sing|Person=2
regular	regular:ልቅስ:A	ልቅስ	A	0	perfective_3ms	[t=p,sp=3,sn=1,sg=m]	ለቀሰ	ለቀሰ	ልቅስ	ለቀሰ	Aspect=Perf|Gender=Masc|Number=Sing|Person=3
regular	regular:ልቅስ:A	ልቅስ	A	1	imperfective_3ms	[t=i,sp=3,sn=1,sg=m]	ይለቅሳል	ይለቅሳል	ልቅስ	ለቀሰ	Aspect=Imp|Gender=Masc|Number=Sing|Person=3
regular	regular:ልቅስ:A	ልቅስ	A	2	imperative_2ms	[t=j,sp=2,sn=1,sg=m]	ልቀስ	ልቀስ	ልቅስ	ለቀሰ	Gender=Masc|Mood=Imp|Number=Sing|Person=2
regular	regular:ልብስ:A	ልብስ	A	0	perfective_3ms	[t=p,sp=3,sn=1,sg=m]	ለበሰ	ለበሰ	ልብስ	ለበሰ	Aspect=Perf|Gender=Masc|Number=Sing|Person=3
regular	regular:ልብስ:A	ልብስ	A	1	imperfective_3ms	[t=i,sp=3,sn=1,sg=m]	ይለብሳል	ይለብሳል	ልብስ	ለበሰ	Aspect=Imp|Gender=Masc|Number=Sing|Person=3
regular	regular:ልብስ:A	ልብስ	A	2	imperative_2ms	[t=j,sp=2,sn=1,sg=m]	ልበስ	ልበስ	ልብስ	ለበሰ	Gender=Masc|Mood=Imp|Number=Sing|Person=2
regular	regular:ልክእ:B	ልክእ	B	0	perfective_3ms	[t=p,sp=3,sn=1,sg=m]	ለካ	ለካ	ልክእ	ለካ	Aspect=Perf|Gender=Masc|Number=Sing|Person=3
regular	regular:ልክእ:B	ልክእ	B	1	imperfective_3ms	[t=i,sp=3,sn=1,sg=m]	ይለካል	ይለካል	ልክእ	ለካ	Aspect=Imp|Gender=Masc|Number=Sing|Person=3
regular	regular:ልክእ:B	ልክእ	B	2	imperative_2ms	[t=j,sp=2,sn=1,sg=m]	ለካ	ለካ	ልክእ	ለካ	Aspect=Perf|Gender=Masc|Number=Sing|Person=3
regular	regular:ልጉድ:B	ልጉድ	B	0	perfective_3ms	[t=p,sp=3,sn=1,sg=m]	ለጎደ	ለጎደ	ልጉድ	ለጎደ	Aspect=Perf|Gender=Masc|Number=Sing|Person=3
regular	regular:ልጉድ:B	ልጉድ	B	1	imperfective_3ms	[t=i,sp=3,sn=1,sg=m]	ይለጉዳል	ይለጉዳል	ልጉድ	ለጎደ	Aspect=Imp|Gender=Masc|Number=Sing|Person=3
regular	regular:ልጉድ:B	ልጉድ	B	2	imperative_2ms	[t=j,sp=2,sn=1,sg=m]	ለጉድ	ለጉድ	ልጉድ	ለጎደ	Gender=Masc|Mood=Imp|Number=Sing|Person=2
regular	regular:ልጥፍ:B	ልጥፍ	B	0	perfective_3ms	[t=p,sp=3,sn=1,sg=m]	ለጠፈ	ለጠፈ	ልጥፍ	ለጠፈ	Aspect=Perf|Gender=Masc|Number=Sing|Person=3
regular	regular:ልጥፍ:B	ልጥፍ	B	1	imperfective_3ms	[t=i,sp=3,sn=1,sg=m]	ይለጥፋል	ይለጥፋል	ልጥፍ	ለጠፈ	Aspect=Imp|Gender=Masc|Number=Sing|Person=3
regular	regular:ልጥፍ:B	ልጥፍ	B	2	imperative_2ms	[t=j,sp=2,sn=1,sg=m]	ለጥፍ	ለጥፍ	ልጥፍ	ለጠፈ	Gender=Masc|Mood=Imp|Number=Sing|Person=2
regular	regular:ሙልእ:A	ሙልእ	A	0	perfective_3ms	[t=p,sp=3,sn=1,sg=m]	ሞላ	ሞላ	ሙልእ	ሞላ	Aspect=Perf|Gender=Masc|Number=Sing|Person=3
regular	regular:ሙልእ:A	ሙልእ	A	1	imperfective_3ms	[t=i,sp=3,sn=1,sg=m]	ይሞላል	ይሞላል	ሙልእ	ሞላ	Aspect=Imp|Gender=Masc|Number=Sing|Person=3
regular	regular:ሙልእ:A	ሙልእ	A	2	imperative_2ms	[t=j,sp=2,sn=1,sg=m]	ሙላ	ሙላ	ሙልእ	ሞላ	Gender=Masc|Mood=Imp|Number=Sing|Person=2
regular	regular:ሙግድ:B	ሙግድ	B	0	perfective_3ms	[t=p,sp=3,sn=1,sg=m]	ሞገደ	ሞገደ	ሙግድ	ሞገደ	Aspect=Perf|Gender=Masc|Number=Sing|Person=3
regular	regular:ሙግድ:B	ሙግድ	B	1	imperfective_3ms	[t=i,sp=3,sn=1,sg=m]	ይሞግዳል	ይሞግዳል	ሙግድ	ሞገደ	Aspect=Imp|Gender=Masc|Number=Sing|Person=3
regular	regular:ሙግድ:B	ሙግድ	B	2	imperative_2ms	[t=j,sp=2,sn=1,sg=m]	ሞግድ	ሞግድ	ሙግድ	ሞገደ	Gender=Masc|Mood=Imp|Number=Sing|Person=2
regular	regular:ሙጭር:B	ሙጭር	B	0	perfective_3ms	[t=p,sp=3,sn=1,sg=m]	ሞጨረ	ሞጨረ	ሙጭር	ሞጨረ	Aspect=Perf|Gender=Masc|Number=Sing|Person=3
regular	regular:ሙጭር:B	ሙጭር	B	0	perfective_3ms	[t=p,sp=3,sn=1,sg=m]	ሟጨረ	ሟጨረ	ሙጭር	ሟጨረ	Aspect=Perf|Gender=Masc|Number=Sing|Person=3
regular	regular:ሙጭር:B	ሙጭር	B	1	imperfective_3ms	[t=i,sp=3,sn=1,sg=m]	ይሞጭራል	ይሞጭራል	ሙጭር	ሞጨረ	Aspect=Imp|Gender=Masc|Number=Sing|Person=3
regular	regular:ሙጭር:B	ሙጭር	B	1	imperfective_3ms	[t=i,sp=3,sn=1,sg=m]	ይሟጭራል	ይሟጭራል	ሙጭር	ሟጨረ	Aspect=Imp|Gender=Masc|Number=Sing|Person=3
